Y,M,D,H,DTW_ft,DTW_m
2013,10,12,4,151.55,46.19244
2013,10,12,5,151.55,46.19244
2013,10,12,6,151.56,46.195488
2013,10,12,7,151.56,46.195488
2013,10,12,8,151.57,46.198536
2013,10,12,9,151.57,46.198536
2013,10,12,10,151.58,46.201584
2013,10,12,11,151.58,46.201584
2013,10,12,12,151.59,46.204632
2013,10,12,13,151.59,46.204632
2013,10,12,14,151.59,46.204632
2013,10,12,15,151.58,46.201584
2013,10,12,16,151.59,46.204632
2013,10,12,17,151.6,46.20768
2013,10,12,18,151.6,46.20768
2013,10,12,19,151.61,46.210728
2013,10,12,20,151.61,46.210728
2013,10,12,21,151.61,46.210728
2013,10,12,22,151.61,46.210728
2013,10,12,23,151.61,46.210728
2013,10,13,0,151.61,46.210728
2013,10,13,1,151.61,46.210728
2013,10,13,2,151.62,46.213776
2013,10,13,3,151.62,46.213776
2013,10,13,4,151.62,46.213776
2013,10,13,5,151.62,46.213776
2013,10,13,6,151.61,46.210728
2013,10,13,7,151.61,46.210728
2013,10,13,8,151.61,46.210728
2013,10,13,9,151.61,46.210728
2013,10,13,10,151.6,46.20768
2013,10,13,11,151.6,46.20768
2013,10,13,12,151.6,46.20768
2013,10,13,13,151.59,46.204632
2013,10,13,14,151.59,46.204632
2013,10,13,15,151.59,46.204632
2013,10,13,16,151.58,46.201584
2013,10,13,17,151.58,46.201584
2013,10,13,18,151.57,46.198536
2013,10,13,19,151.57,46.198536
2013,10,13,20,151.56,46.195488
2013,10,13,21,151.56,46.195488
2013,10,13,22,151.56,46.195488
2013,10,13,23,151.55,46.19244
2013,10,14,0,151.55,46.19244
2013,10,14,1,151.54,46.189392
2013,10,14,2,151.54,46.189392
2013,10,14,3,151.54,46.189392
2013,10,14,4,151.53,46.186344
2013,10,14,5,151.52,46.183296
2013,10,14,6,151.51,46.180248
2013,10,14,7,151.51,46.180248
2013,10,14,8,151.5,46.1772
2013,10,14,9,151.49,46.174152
2013,10,14,10,151.48,46.171104
2013,10,14,11,151.47,46.168056
2013,10,14,12,151.45,46.16196
2013,10,14,13,151.45,46.16196
2013,10,14,14,151.43,46.155864
2013,10,14,15,151.41,46.149768
2013,10,14,16,151.4,46.14672
2013,10,14,17,151.38,46.140624
2013,10,14,18,151.37,46.137576
2013,10,14,19,151.36,46.134528
2013,10,14,20,151.35,46.13148
2013,10,14,21,151.35,46.13148
2013,10,14,22,151.34,46.128432
2013,10,14,23,151.33,46.125384
2013,10,15,0,151.33,46.125384
2013,10,15,1,151.32,46.122336
2013,10,15,2,151.31,46.119288
2013,10,15,3,151.3,46.11624
2013,10,15,4,151.29,46.113192
2013,10,15,5,151.29,46.113192
2013,10,15,6,151.28,46.110144
2013,10,15,7,151.28,46.110144
2013,10,15,8,151.27,46.107096
2013,10,15,9,151.27,46.107096
2013,10,15,10,151.26,46.104048
2013,10,15,11,151.26,46.104048
2013,10,15,12,151.26,46.104048
2013,10,15,13,151.25,46.101
2013,10,15,14,151.24,46.097952
2013,10,15,15,151.24,46.097952
2013,10,15,16,151.24,46.097952
2013,10,15,17,151.23,46.094904
2013,10,15,18,151.22,46.091856
2013,10,15,19,151.22,46.091856
2013,10,15,20,151.21,46.088808
2013,10,15,21,151.21,46.088808
2013,10,15,22,151.2,46.08576
2013,10,15,23,151.2,46.08576
2013,10,16,0,151.19,46.082712
2013,10,16,1,151.19,46.082712
2013,10,16,2,151.19,46.082712
2013,10,16,3,151.18,46.079664
2013,10,16,4,151.17,46.076616
2013,10,16,5,151.17,46.076616
2013,10,16,6,151.16,46.073568
2013,10,16,7,151.16,46.073568
2013,10,16,8,151.15,46.07052
2013,10,16,9,151.15,46.07052
2013,10,16,10,151.14,46.067472
2013,10,16,11,151.14,46.067472
2013,10,16,12,151.14,46.067472
